 ,AE-Poland,AE-Czech Republic and AE-Slovakia,AE-Hungary,AE-Romania
New SRs #,24,16,30,10
Solved within 5 WorkDays,15,13,18,2
In Work SRs,0,1,1,1
Solved in more then 5 Workdays,24,6,19,4
Open SRs,0,0,0,0
